SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Ba,Nb,Sr,Zr,Ba/Zr,Nb/Zr,Label
62.28,0.49,16.93,5.99,0.07,2.82,3.99,4.08,1.3,0.158,31.3,308.4,2.9,491.9,56.4,5.468085106,0.05141844,Fertile
65.32,0.38,17,3.95,0.13,1.43,4.4,4.28,1.55,0.142,19.7,546.5,2.9,534.6,78.1,6.997439181,0.037131882,Fertile
65.6,0.51,15.7,2.86,1.41,0.05,2.55,4.36,4.5,0.2,144,958,32,754,187,5.122994652,0.171122995,Fertile
66.8,0.49,15.3,2.52,0.06,1.22,2.4,4.42,4.17,0.18,166,1020,23,765,192,5.3125,0.119791667,Fertile
67.4,0.48,15.4,2.68,0.06,1.27,2.43,4.43,4.34,0.19,175,1070,20,744,221,4.841628959,0.090497738,Fertile
62,0.69,16.3,4.46,0.08,2.47,3.59,4.3,4.19,0.3,180,1100,25,855,316,3.481012658,0.079113924,Fertile
60.4,0.44,16.74,5.85,0.08,2.75,4.2,3.98,1.4,0.16,41,319,3,464,81,3.938271605,0.037037037,Fertile
66.4,0.38,17.35,2.2,0.09,1.95,3.68,4.24,0.74,0.13,16,549,3.2,539,100,5.49,0.032,Fertile
62.5,0.45,17.15,5.25,0.11,2.59,3.88,3.68,0.86,0.17,17,413,2.8,519,87,4.747126437,0.032183908,Fertile
67,0.27,16.85,2.68,0.09,1.13,4.6,4.7,1.47,0.09,30,554,3.1,614,97,5.711340206,0.031958763,Fertile
66.5,0.28,16.2,2.87,0.09,1.23,4.7,4.1,1.33,0.1,30,535,2.9,602,78,6.858974359,0.037179487,Fertile
59.1,0.72,18.21,5.82,0.18,3.07,7.24,3.27,1.57,0.18,33.9,323,5.1,322,77,4.194805195,0.066233766,Fertile
54.37,0.8,17.36,7.74,0.14,4.3,7.24,3.22,1.36,0.3,38,520,7.3,620,130,4,0.056153846,Fertile
66.23,0.51,16.46,3.44,0.08,1.81,3.76,3.9,3.56,0.24,99,1317,9.1,682,151,8.721854305,0.060264901,Fertile
63.26,0.78,16.13,4.87,0.09,2.64,5,3.38,3.57,0.28,82,1161,8.7,770,139,8.352517986,0.062589928,Fertile
65.74,0.54,14.95,4.05,0.09,1.85,1.98,2.78,4.7,0.25,195,2540,8,759,162,15.67901235,0.049382716,Fertile
56.43,1.37,14.67,9.66,0.21,4.57,8.23,2.88,1.55,0.42,36,668,11.2,354,153,4.366013072,0.073202614,Fertile
56.18,1.27,14.85,8.76,0.22,4.28,9.37,2.86,1.79,0.4,48,731,10.3,353,157,4.656050955,0.065605096,Fertile
64.08,0.62,15.96,4.53,0.1,2.21,5.08,3.6,3.6,0.22,105,942,15,684,178,5.292134831,0.084269663,Fertile
55.69,0.77,16.4,8.11,0.16,4.18,7.24,3.04,3.99,0.42,113,855,7,911,99,8.636363636,0.070707071,Fertile
57.92,0.6,17.62,6.12,0.19,2.02,6.38,4.14,3.05,0.36,69,1249,7.3,985,131,9.534351145,0.055725191,Fertile
56.16,0.7,16.03,7.33,0.18,2.8,7.16,3.44,3.05,0.44,66,1294,5.9,926,104,12.44230769,0.056730769,Fertile
56.29,0.81,16.57,8.78,0.27,3.24,6.33,2.75,2.81,0.46,53,1365,6.9,859,114,11.97368421,0.060526316,Fertile
57.21,0.61,17,6.51,0.13,2.01,5.98,3.35,4.41,0.3,77,3012,5.9,881,108,27.88888889,0.05462963,Fertile
61.22,0.54,17.98,4.51,0.14,1.44,3.38,5.32,2.7,0.25,72,870,7,1430,121,7.190082645,0.05785124,Fertile
60.57,0.53,17.87,4.66,0.16,1.94,4.45,4.28,2.5,0.25,74,778,8,904,134,5.805970149,0.059701493,Fertile
61.07,0.49,17.68,4.1,0.13,1.49,4.9,4.21,2.95,0.22,67,732,8,1013,126,5.80952381,0.063492063,Fertile
63.01,0.51,16.36,4.45,0.12,1.63,4.91,3.39,2.74,0.23,63,1441,7,781,98,14.70408163,0.071428571,Fertile
57.11,0.65,18.35,6.33,0.12,1.75,4.87,4.19,3.27,0.26,46,768,6,871,127,6.047244094,0.047244094,Fertile
60.9,0.59,18.45,4.76,0.1,0.44,2.72,4.08,5.4,0.26,241,817,8,676,130,6.284615385,0.061538462,Fertile
67.94,0.35,15.16,2.5,0.03,1.27,1.3,3.52,5.2,0.2,225,1107,16,406,193,5.735751295,0.082901554,Fertile
63.24,0.68,15.89,3.91,0.08,1.75,4.24,4.21,3.05,0.2,92,966,12,601,143,6.755244755,0.083916084,Fertile
65.81,0.52,15.31,3.82,0.1,1.24,3.67,2.53,5.43,0.2,277,1499,27.5,671,194,7.726804124,0.141752577,Fertile
66.44,0.52,15.55,2.64,0.06,2.8,4.87,2.95,4.01,0.155,75,1401,10,541,148,9.466216216,0.067567568,Fertile
64.39,0.64,17.2,4.48,0.05,1.98,5.12,3.15,2.78,0.211,92,981,12,652,180,5.45,0.066666667,Fertile
62.93,0.72,17.11,4.47,0.05,2.43,5.96,3.09,3.02,0.221,92,1025,10,751,181,5.662983425,0.055248619,Fertile
68.02,0.2,16.76,1.89,0.07,0.44,1.94,4.1,3.8,0.05,120,2155,9.29,656,124,17.37903226,0.074919355,Fertile
68.73,0.38,15.55,2.52,0.03,0.89,2.49,3.37,3.92,0.16,104,1505,16,332,179,8.407821229,0.089385475,Fertile
67.2,0.46,15.2,3.07,0.04,1.42,3.46,2.59,4.5,0.13,198,1380,14.2,465,224,6.160714286,0.063392857,Fertile
69.5,0.34,16,1.9,0.02,0.66,2.63,2.57,4.37,0.08,213,2930,13.9,476,152,19.27631579,0.091447368,Fertile
62.7,0.7,16.7,5.02,0.06,1.17,2.47,3.87,3.83,0.17,200,940,10,420,160,5.875,0.0625,Fertile
60.65,0.76,17.65,5.38,0.1,1.78,5.42,3.86,2.3,0.19,62,716,9,563,149,4.805369128,0.060402685,Fertile
61.56,0.58,17.16,4.25,0.1,2.45,5.03,3.65,2.04,0.16,56,596,8,450,141,4.226950355,0.056737589,Fertile
61.56,0.58,17.16,4.25,0.1,2.45,5.03,3.65,2.04,0.16,56,596,8,505,141,4.226950355,0.056737589,Fertile
64.98,0.58,16.78,2.93,0.04,1.27,4.56,3.84,2.34,0.17,59,550,8,568,139,3.956834532,0.057553957,Fertile
